record_num,ground_truth,consensus_correct,trend_trust,pattern_trust,anomaly_trust
310,False,True,0.8815357730610801,0.8874301291235298,1.0
311,False,True,0.8815232213959978,0.8871486546727153,1.0
312,False,True,0.8815498129944173,0.8869321917613544,1.0
313,True,True,0.8816113922045298,0.8867740044323528,1.0
314,False,False,0.8815454910793149,0.8865093024018159,1.0
315,True,True,0.8815238533637885,0.886307739250242,1.0
316,False,True,0.8813840863239396,0.8861627697416217,1.0
317,False,True,0.8812959921569544,0.8859112726416734,1.0
318,False,True,0.8812541672359299,0.8857213992960014,1.0
319,False,True,0.8812537505123369,0.8855867593664013,1.0
320,False,True,0.8812903692305737,0.8855016036789823,1.0
321,False,True,0.8813600900714914,0.8854607600812705,1.0
322,False,True,0.8814593751819894,0.8854595757140103,1.0
323,True,True,0.881585042602062,0.8854938650561895,1.0
324,True,True,0.8817342306495481,0.8855598631659553,1.0
325,True,True,0.881904365866802,0.8855008093646971,1.0
326,False,True,0.8819402289743115,0.8854828385199706,1.0
327,False,True,0.8820084011988315,0.8855016278387052,1.0
328,False,True,0.8821054334193739,0.8855532887630414,1.0
329,False,True,0.8822282234107699,0.8856343235231009,1.0
330,False,True,0.8823739811301159,0.8857415860348391,1.0
331,False,True,0.8825401974749356,0.8858722467084637,1.0
332,False,True,0.8827246161658805,0.886023760776356,1.0
333,False,True,0.882925208441508,0.8860441391897385,1.0
334,True,True,0.8831401502839245,0.8860964416886752,1.0
335,True,False,0.8832189923983892,0.8860284641864744,1.0
336,True,True,0.8833243928618144,0.8860012854236133,1.0
337,False,True,0.8833055630430886,0.8860106243368733,1.0
338,False,True,0.88332308933465,0.8860526297497937,1.0
339,False,True,0.8833731333423614,0.8861238373630496,1.0
340,False,True,0.8834522422955153,0.8862211310460995,1.0
341,True,True,0.8835573104636247,0.8861955091695597,1.0
342,True,True,0.8836855444318396,0.886059923267181,1.0
343,False,True,0.8836890830119115,0.885971372800928,1.0
344,False,True,0.8837259718121696,0.8857800326222844,1.0
345,True,True,0.8837926809893342,0.8856413357184375,1.0
346,False,True,0.8837419431497668,0.8855498246249799,1.0
347,False,True,0.8837298178003075,0.8855005892889187,1.0
348,False,True,0.8837522514930561,0.8854892123084509,1.0
349,False,True,0.8838055977723219,0.8855117196490343,1.0
350,False,True,0.8838865764566283,0.8855645362881195,1.0
351,True,True,0.8839922369927836,0.8855024008411257,1.0
352,False,True,0.8839782824153184,0.8854790729383163,1.0
353,True,True,0.8839985332698317,0.8854904876783829,1.0
354,False,True,0.8839085390977781,0.8855329882063192,1.0
355,False,True,0.8838603818172138,0.8856032848913054,1.0
356,True,True,0.8838496937755485,0.8856984185870488,1.0
357,False,True,0.8837328808225746,0.8858157275663328,1.0
358,True,True,0.8836604283949133,0.885813541996329,1.0
359,False,True,0.8834888299998664,0.8858432989078072,1.0
360,False,True,0.8833670938142842,0.885901628296805,1.0
361,False,True,0.883290052941143,0.8859854986162958,1.0
362,False,True,0.8832530586663125,0.8860921829144459,1.0
363,False,True,0.8832519286238572,0.8862192283592651,1.0
364,True,True,0.8832829001450331,0.8863644288110099,1.0
365,False,True,0.8832059762507484,0.8865258001375592,1.0
366,False,True,0.8831687573722675,0.8867015579984627,1.0
367,True,True,0.8831670990263452,0.8868900978507903,1.0
368,False,True,0.8830617712375318,0.8870899769546002,1.0
